Category,Name,Variant Name,Price,URL
b'',b'Compound & Seam - Vessels in White and Peach Colour',b'',b'425.00',b'https://completedworks.com//products/compound-seam'
b'',b'Banned Book No. 2 & Solitude - Vessels In Black',b'',b'315.00',b'https://completedworks.com//products/banned-book-no-2-solitude'
b'Necklace',b'Classicworks\xe2\x84\xa2 Heart - Platinum Plated Sterling Silver Necklace',b'',b'195.00',b'https://completedworks.com//products/classicworks-heart-platinum-plated-sterling-silver-necklace'
b'Necklace',b'Flow - Platinum Plated Sterling Silver Pendant',b'',b'155.00',b'https://completedworks.com//products/flow-platinum-plated-sterling-silver-pendant'
b'',b'L06 - Dish - Brushed Brass',b'',b'295.00',b'https://completedworks.com//products/l06-dish-brushed-brass'
b'',b'L01 - Set of 2 Napkin Rings - Brass w/ Faux Pearls',b'',b'255.00',b'https://completedworks.com//products/l01-set-of-2-napkin-rings'
b'Rings',b'Bend in the River - Platinum Plated Sterling Silver Ring',b'Small - In stock',b'250.00',b'https://completedworks.com//products/bend-in-the-river-platinum-plated-sterling-silver-ring'
b'Rings',b'Bend in the River - Platinum Plated Sterling Silver Ring',b'Medium - In stock',b'250.00',b'https://completedworks.com//products/bend-in-the-river-platinum-plated-sterling-silver-ring'
b'Rings',b'Bend in the River - Platinum Plated Sterling Silver Ring',b'Large - In stock',b'250.00',b'https://completedworks.com//products/bend-in-the-river-platinum-plated-sterling-silver-ring'
b'Earrings',b'F33 - Gold Vermeil Earrings',b'',b'355.00',b'https://completedworks.com//products/f33-earrings'
b'Earrings',b'A Negotiation with the Infinite - Gold Vermeil and Freshwater Pearl Ear Cuff',b'',b'325.00',b'https://completedworks.com//products/a-negotiation-with-the-infinite-gold-vermeil-and-freshwater-pearl-ear-cuff'
b'Earrings',b'C16 - Gold Vermeil Earrings',b'',b'225.00',b'https://completedworks.com//products/c16'
b'Earrings',b'Flux - Gold Vermeil and White Topaz Earrings',b'',b'625.00',b'https://completedworks.com//products/flux'
b'',b'In the Storm of Roses - Gold Vermeil Earrings',b'',b'395.00',b'https://completedworks.com//products/f32'
b'Bracelet',b'F36 - Gold Vermeil Bracelet',b'',b'350.00',b'https://completedworks.com//products/f36'
b'Earrings',b'F38 - Gold Vermeil Earrings',b'',b'355.00',b'https://completedworks.com//products/f38'
b'Earrings',b'F39 - Gold Vermeil and Freshwater Pearl Earrings',b'',b'195.00',b'https://completedworks.com//products/f39'
b'Earrings',b'Poem With No Hero - Gold Vermeil and Baroque Pearl Earrings',b'',b'275.00',b'https://completedworks.com//products/time-in-reverse-gold-vemeil-and-baroque-pearl-earrings'
b'Rings',b'OOOPS! - Gold Vermeil and White Topaz Ring',b'Small - In stock',b'255.00',b'https://completedworks.com//products/ooops-gold-vermeil-recycled-ring'
b'Rings',b'OOOPS! - Gold Vermeil and White Topaz Ring',b'Medium - In stock',b'255.00',b'https://completedworks.com//products/ooops-gold-vermeil-recycled-ring'
b'Rings',b'OOOPS! - Gold Vermeil and White Topaz Ring',b'Large -  Custom made',b'255.00',b'https://completedworks.com//products/ooops-gold-vermeil-recycled-ring'
b'Earrings',b'F37 - Gold Vermeil and White Topaz Earrings',b'',b'245.00',b'https://completedworks.com//products/f37-earrings'
b'',b'R2097 - Gold Vermeil and White Topaz Earrings',b'',b'365.00',b'https://completedworks.com//products/r2097'
b'Necklace',b'What is it We Are Waiting For? - Gold Vermeil Pendant',b'',b'225.00',b'https://completedworks.com//products/f42'
b'Necklace',b'F44 - Gold Vermeil Collar',b'',b'485.00',b'https://completedworks.com//products/f44'
b'Earrings',b'The Legacy of Secret Lives - Gold Vermeil Earrings',b'',b'175.00',b'https://completedworks.com//products/the-legacy-of-secret-lives-gold-vermeil-earrings'
b'Earrings',b'P21 - Freshwater Pearl Ear Cuff',b'',b'495.00',b'https://completedworks.com//products/p21-freshwater-pearl-ear-cuff'
b'Rings',b'P22 - Freshwater Pearl and Gold Vermeil Rings',b'Small - In stock',b'465.00',b'https://completedworks.com//products/p22-rings'
b'Rings',b'P22 - Freshwater Pearl and Gold Vermeil Rings',b'Medium - In stock',b'465.00',b'https://completedworks.com//products/p22-rings'
b'Rings',b'P22 - Freshwater Pearl and Gold Vermeil Rings',b'Large - In stock',b'465.00',b'https://completedworks.com//products/p22-rings'
b'Necklace',b'Drift - Freshwater Pearl Pendant',b'',b'285.00',b'https://completedworks.com//products/p26'
b'Earrings',b'The Coming of Wisdom with Time - Gold Vermeil Earrings',b'',b'195.00',b'https://completedworks.com//products/ss21-f34'
b'Bracelet',b'Deep State - Gold Vermeil Bracelet',b'',b'255.00',b'https://completedworks.com//products/h09b-cuff'
b'Necklace',b'Dossing About - Platinum Plated Sterling Silver Pendant',b'',b'155.00',b'https://completedworks.com//products/dossing-about-platinum-plated-sterling-silver-pendant'
b'Rings',b'Crunched: A Tale of Abandoned Legal Strategies - Platinum Plated Ring',b'Small - In Stock',b'295.00',b'https://completedworks.com//products/crunched-a-tale-of-abandoned-legal-strategies-platinum-plated-ring'
b'Rings',b'Crunched: A Tale of Abandoned Legal Strategies - Platinum Plated Ring',b'Medium - In Stock',b'295.00',b'https://completedworks.com//products/crunched-a-tale-of-abandoned-legal-strategies-platinum-plated-ring'
b'Rings',b'Crunched: A Tale of Abandoned Legal Strategies - Platinum Plated Ring',b'Large - In stock',b'295.00',b'https://completedworks.com//products/crunched-a-tale-of-abandoned-legal-strategies-platinum-plated-ring'
b'Earrings',b'Flow - Single Earring',b'14ct yellow gold plated sterling silver',b'135.00',b'https://completedworks.com//products/flow-single-earring'
b'Earrings',b'Flow - Single Earring',b'Platinum plated sterling silver',b'135.00',b'https://completedworks.com//products/flow-single-earring'
b'Earrings',b'Notsobig Scrunch - Sterling Silver Earrings',b'',b'285.00',b'https://completedworks.com//products/notsobig-scrunch-silver-earrings'
